observable,sintetico,base,PROV,timestamp,RADIO_REF_ID,DPTO,valor,frac
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11004,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11005,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11006,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11007,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11008,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11009,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11010,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11011,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11012,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11013,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11014,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11015,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11016,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11017,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11018,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11019,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11020,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11021,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11022,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11023,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11024,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11025,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11026,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11027,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11028,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11029,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11030,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11031,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11032,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11033,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11034,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11035,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11036,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11037,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11038,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11039,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11040,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11041,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11042,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11043,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11044,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11045,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11046,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11047,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11048,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11049,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11050,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11051,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11052,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11053,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11054,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11055,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11056,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11057,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11058,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11059,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11060,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11061,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11062,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11063,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11064,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11065,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11066,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11067,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11068,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11069,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11070,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11071,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11072,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11073,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11074,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11075,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11076,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11077,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11078,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11079,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11080,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11081,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11082,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11083,6749,1.0,0.2
